X,Y,Z,Data_Value
0,0,0,-166.3458595620792
0,1,0,-166.3458595620792
1,1,0,-166.3458595620792
1,0,0,-166.3458595620792
0,0,0,-166.3458595620792
0,1,0,-121.9816702339613
0,2,0,-121.9816702339613
1,2,0,-121.9816702339613
1,1,0,-121.9816702339613
0,1,0,-121.9816702339613
0,2,0,-87.84563624525792
0,3,0,-87.84563624525792
1,3,0,-87.84563624525792
1,2,0,-87.84563624525792
0,2,0,-87.84563624525792
0,3,0,-51.813358570773886
0,4,0,-51.813358570773886
1,4,0,-51.813358570773886
1,3,0,-51.813358570773886
0,3,0,-51.813358570773886
0,4,0,-179.6361282480522
0,5,0,-179.6361282480522
1,5,0,-179.6361282480522
1,4,0,-179.6361282480522
0,4,0,-179.6361282480522
0,5,0,-160.80405272887117
0,6,0,-160.80405272887117
1,6,0,-160.80405272887117
1,5,0,-160.80405272887117
0,5,0,-160.80405272887117
0,6,0,-8.644428763210925
0,7,0,-8.644428763210925
1,7,0,-8.644428763210925
1,6,0,-8.644428763210925
0,6,0,-8.644428763210925
0,7,0,-27.3610147924976
0,8,0,-27.3610147924976
1,8,0,-27.3610147924976
1,7,0,-27.3610147924976
0,7,0,-27.3610147924976
0,8,0,-14.339724515904862
0,9,0,-14.339724515904862
1,9,0,-14.339724515904862
1,8,0,-14.339724515904862
0,8,0,-14.339724515904862
0,9,0,24.193845140561393
0,10,0,24.193845140561393
1,10,0,24.193845140561393
1,9,0,24.193845140561393
0,9,0,24.193845140561393
1,0,0,42.459919899965456
1,1,0,42.459919899965456
2,1,0,42.459919899965456
2,0,0,42.459919899965456
1,0,0,42.459919899965456
1,1,0,-74.21747401827179
1,2,0,-74.21747401827179
2,2,0,-74.21747401827179
2,1,0,-74.21747401827179
1,1,0,-74.21747401827179
1,2,0,-176.1896166983056
1,3,0,-176.1896166983056
2,3,0,-176.1896166983056
2,2,0,-176.1896166983056
1,2,0,-176.1896166983056
1,3,0,48.535846660009156
1,4,0,48.535846660009156
2,4,0,48.535846660009156
2,3,0,48.535846660009156
1,3,0,48.535846660009156
1,4,0,-52.37161054973055
1,5,0,-52.37161054973055
2,5,0,-52.37161054973055
2,4,0,-52.37161054973055
1,4,0,-52.37161054973055
1,5,0,39.55583368705297
1,6,0,39.55583368705297
2,6,0,39.55583368705297
2,5,0,39.55583368705297
1,5,0,39.55583368705297
1,6,0,-157.5420150574561
1,7,0,-157.5420150574561
2,7,0,-157.5420150574561
2,6,0,-157.5420150574561
1,6,0,-157.5420150574561
1,7,0,-34.72715281911371
1,8,0,-34.72715281911371
2,8,0,-34.72715281911371
2,7,0,-34.72715281911371
1,7,0,-34.72715281911371
1,8,0,-39.46442907479579
1,9,0,-39.46442907479579
2,9,0,-39.46442907479579
2,8,0,-39.46442907479579
1,8,0,-39.46442907479579
1,9,0,23.46826680039311
1,10,0,23.46826680039311
2,10,0,23.46826680039311
2,9,0,23.46826680039311
1,9,0,23.46826680039311
2,0,0,-133.6256280214925
2,1,0,-133.6256280214925
3,1,0,-133.6256280214925
3,0,0,-133.6256280214925
2,0,0,-133.6256280214925
2,1,0,-79.56450537063596
2,2,0,-79.56450537063596
3,2,0,-79.56450537063596
3,1,0,-79.56450537063596
2,1,0,-79.56450537063596
2,2,0,-172.96549707939877
2,3,0,-172.96549707939877
3,3,0,-172.96549707939877
3,2,0,-172.96549707939877
2,2,0,-172.96549707939877
2,3,0,-98.88025560305827
2,4,0,-98.88025560305827
3,4,0,-98.88025560305827
3,3,0,-98.88025560305827
2,3,0,-98.88025560305827
2,4,0,25.282610004060672
2,5,0,25.282610004060672
3,5,0,25.282610004060672
3,4,0,25.282610004060672
2,4,0,25.282610004060672
2,5,0,5.113427647315689
2,6,0,5.113427647315689
3,6,0,5.113427647315689
3,5,0,5.113427647315689
2,5,0,5.113427647315689
2,6,0,24.466226104433474
2,7,0,24.466226104433474
3,7,0,24.466226104433474
3,6,0,24.466226104433474
2,6,0,24.466226104433474
2,7,0,-88.21302127072602
2,8,0,-88.21302127072602
3,8,0,-88.21302127072602
3,7,0,-88.21302127072602
2,7,0,-88.21302127072602
2,8,0,-25.500423533090128
2,9,0,-25.500423533090128
3,9,0,-25.500423533090128
3,8,0,-25.500423533090128
2,8,0,-25.500423533090128
2,9,0,-24.305026573508513
2,10,0,-24.305026573508513
3,10,0,-24.305026573508513
3,9,0,-24.305026573508513
2,9,0,-24.305026573508513
3,0,0,-92.61861315134495
3,1,0,-92.61861315134495
4,1,0,-92.61861315134495
4,0,0,-92.61861315134495
3,0,0,-92.61861315134495
3,1,0,20.657404532490688
3,2,0,20.657404532490688
4,2,0,20.657404532490688
4,1,0,20.657404532490688
3,1,0,20.657404532490688
3,2,0,-168.50696977134376
3,3,0,-168.50696977134376
4,3,0,-168.50696977134376
4,2,0,-168.50696977134376
3,2,0,-168.50696977134376
3,3,0,10.705743952665813
3,4,0,10.705743952665813
4,4,0,10.705743952665813
4,3,0,10.705743952665813
3,3,0,10.705743952665813
3,4,0,2.0776432801974636
3,5,0,2.0776432801974636
4,5,0,2.0776432801974636
4,4,0,2.0776432801974636
3,4,0,2.0776432801974636
3,5,0,29.852890515020363
3,6,0,29.852890515020363
4,6,0,29.852890515020363
4,5,0,29.852890515020363
3,5,0,29.852890515020363
3,6,0,2.1991003278606627
3,7,0,2.1991003278606627
4,7,0,2.1991003278606627
4,6,0,2.1991003278606627
